latitude;longitude;tour;step;date;country;room
32.71451081;-117.1925354;THE FAME BALL TOUR;Étape 1 - Amérique du Nord;12.03.2009;San Diego;House of Blues
34.04583233;-118.2499695;THE FAME BALL TOUR;Étape 1 - Amérique du Nord;13.03.2009;Los Angeles;Wiltern Theatre
37.787994;-122.407437;THE FAME BALL TOUR;Étape 1 - Amérique du Nord;14.03.2009;San Francisco;Mezzanine
47.6062095;-122.3320708;THE FAME BALL TOUR;Étape 1 - Amérique du Nord;16.03.2009;Seattle;Showbox at the Winnet
45.523062;-122.676482;THE FAME BALL TOUR;Étape 1 - Amérique du Nord;17.03.2009;Portland;Wonder Ballroom
45.638728;-122.661486;THE FAME BALL TOUR;Étape 1 - Amérique du Nord;18.03.2009;Vancouver;Commodore Ballroom
39.739236;104.990251;THE FAME BALL TOUR;Étape 1 - Amérique du Nord;21.03.2009;Denver;Gothic Theater
44.977753;-93.265011;THE FAME BALL TOUR;Étape 1 - Amérique du Nord;23.03.2009;Minneapolis;Fine Line Music Cafe
41.878114;-87.629798;THE FAME BALL TOUR;Étape 1 - Amérique du Nord;24.03.2009;Chicago;House of Blues
42.48948;-83.144649;THE FAME BALL TOUR;Étape 1 - Amérique du Nord;25.03.2009;Royal Oak;Royal Oak Music Theatre
43.45164;-80.492534;THE FAME BALL TOUR;Étape 1 - Amérique du Nord;26.03.2009;Kitchener;Elements Nightclub
45.42153;-75.697193;THE FAME BALL TOUR;Étape 1 - Amérique du Nord;27.03.2009;Ottawa;Bronson Centre
45.501689;-73.567256;THE FAME BALL TOUR;Étape 1 - Amérique du Nord;28.03.2009;Montréal;Metropolis
42.360082;-71.05888;THE FAME BALL TOUR;Étape 1 - Amérique du Nord;30.03.2009;Boston;House of Blues
33.830296;-116.545292;THE FAME BALL TOUR;Étape 1 - Amérique du Nord;04.04.2009;Palm Springs;Oasis Hall
28.538335;-81.379237;THE FAME BALL TOUR;Étape 1 - Amérique du Nord;06.04.2009;Orlando;House of Blues
27.950575;-82.457178;THE FAME BALL TOUR;Étape 1 - Amérique du Nord;07.04.2009;Tampa;The Ritz Ybor
26.122439;-80.137317;THE FAME BALL TOUR;Étape 1 - Amérique du Nord;08.04.2009;Fort Lauderdale;Revolution
33.748995;-84.387982;THE FAME BALL TOUR;Étape 1 - Amérique du Nord;09.04.2009;Atlanta;Center Stage
33.830296;-116.545292;THE FAME BALL TOUR;Étape 1 - Amérique du Nord;11.04.2009;Palm Springs;Palm Springs Convention Center[A]
40.416775;-3.70379;THE FAME BALL TOUR;"Étape 2 - Europe
";24.04.2009;Madrid;La Cubierta
55.757425;37.619183;THE FAME BALL TOUR;"Étape 2 - Europe
";25.04.2009;Moscou;Famous Club
48.775846;9.182932;THE FAME BALL TOUR;"Étape 2 - Europe
";28.04.2009;Stuttgart;Club Zapata
39.952584;-75.165222;THE FAME BALL TOUR;Étape 3 - Amérique du Nord;01.05.2009;Philadelphie;Electric Factory
40.712784;-74.005941;THE FAME BALL TOUR;Étape 3 - Amérique du Nord;02.05.2009;New York;Terminal 5
42.069539;-72.614812;THE FAME BALL TOUR;Étape 3 - Amérique du Nord;03.05.2009;Agawam;Northern Star Arena
42.360082;-71.05888;THE FAME BALL TOUR;Étape 3 - Amérique du Nord;04.05.2009;Boston;House of Blues
30.267153;-97.743061;THE FAME BALL TOUR;Étape 3 - Amérique du Nord;06.05.2009;Austin;Austin Music Hall
32.640054;-117.084196;THE FAME BALL TOUR;Étape 3 - Amérique du Nord;08.05.2009;Chula Vista;Cricket Wireless Amphitheatre
