latitude;longitude;tour;step;date;city;room
45.501689;-73.567256;THE MONSTER BALL TOUR;"Étape 1 - Amérique du Nord
";27.11.2009;Montréal;Centre Bell
43.653226;-79.383184;THE MONSTER BALL TOUR;"Étape 1 - Amérique du Nord
";28.11.2009;Toronto;Air Canada Centre
45.42153;-75.697193;THE MONSTER BALL TOUR;"Étape 1 - Amérique du Nord
";29.11.2009;Ottawa;Scotiabank Place
42.360082;-71.05888;THE MONSTER BALL TOUR;"Étape 1 - Amérique du Nord
";01.12.2009;Boston;Wang Center
42.360082;-71.05888;THE MONSTER BALL TOUR;"Étape 1 - Amérique du Nord
";02.12.2009;Boston;Wang Center
51.551706;-0.158826;THE MONSTER BALL TOUR;"Étape 1 - Amérique du Nord
";03.12.2009;Camden;Susquehanna Bank Center
45.638728;-122.661486;THE MONSTER BALL TOUR;"Étape 1 - Amérique du Nord
";09.12.2009;Vancouver;Queen Elizabeth Theater
45.638728;-122.661486;THE MONSTER BALL TOUR;"Étape 1 - Amérique du Nord
";10.12.2009;Vancouver;Queen Elizabeth Theater
45.638728;-122.661486;THE MONSTER BALL TOUR;"Étape 1 - Amérique du Nord
";11.12.2009;Vancouver;Queen Elizabeth Theater
37.787994;-122.407437;THE MONSTER BALL TOUR;"Étape 1 - Amérique du Nord
";13.12.2009;San Francisco;Bill Graham Civic Auditorium
37.787994;-122.407437;THE MONSTER BALL TOUR;"Étape 1 - Amérique du Nord
";14.12.2009;San Francisco;Bill Graham Civic Auditorium
36.169941;-115.13983;THE MONSTER BALL TOUR;"Étape 1 - Amérique du Nord
";17.12.2009;Las Vegas;Pearl Concert Theater
36.169941;-115.13983;THE MONSTER BALL TOUR;"Étape 1 - Amérique du Nord
";18.12.2009;Las Vegas;Pearl Concert Theater
32.71451081;-117.1925354;THE MONSTER BALL TOUR;"Étape 1 - Amérique du Nord
";19.12.2009;San Diego;San Diego sports arena
34.04583233;-118.2499695;THE MONSTER BALL TOUR;"Étape 1 - Amérique du Nord
";21.12.2009;Los Angeles;Nokia Theater
34.04583233;-118.2499695;THE MONSTER BALL TOUR;"Étape 1 - Amérique du Nord
";22.12.2009;Los Angeles;Nokia Theater
34.04583233;-118.2499695;THE MONSTER BALL TOUR;"Étape 1 - Amérique du Nord
";23.12.2009;Los Angeles;Nokia Theater
29.951066;-90.071532;THE MONSTER BALL TOUR;"Étape 1 - Amérique du Nord
";27.12.2009;New Orleans;UNO Lakefront Arena
33.748995;-84.387982;THE MONSTER BALL TOUR;"Étape 1 - Amérique du Nord
";28.12.2009;Atlanta;Fox Theater
33.748995;-84.387982;THE MONSTER BALL TOUR;"Étape 1 - Amérique du Nord
";29.12.2009;Atlanta;Fox Theater
25.76168;-80.19179;THE MONSTER BALL TOUR;"Étape 1 - Amérique du Nord
";31.12.2009;Miami;James L Knight Center
25.76168;-80.19179;THE MONSTER BALL TOUR;"Étape 1 - Amérique du Nord
";02.01.2010;Miami;James L Knight Center
28.538335;-81.379237;THE MONSTER BALL TOUR;"Étape 1 - Amérique du Nord
";03.01.2010;Orlando;Hard Rock Live
38.627003;-90.199404;THE MONSTER BALL TOUR;"Étape 1 - Amérique du Nord
";07.01.2010;Saint-Louis;Fox Theater
41.878114;-87.629798;THE MONSTER BALL TOUR;"Étape 1 - Amérique du Nord
";08.01.2010;Chicago;Rosemont Theater
41.878114;-87.629798;THE MONSTER BALL TOUR;"Étape 1 - Amérique du Nord
";09.01.2010;Chicago;Rosemont Theater
41.878114;-87.629798;THE MONSTER BALL TOUR;"Étape 1 - Amérique du Nord
";10.01.2010;Chicago;Rosemont Theater
42.331427;-83.045754;THE MONSTER BALL TOUR;"Étape 1 - Amérique du Nord
";12.01.2010;Détroit;Joe Louis Arena
42.331427;-83.045754;THE MONSTER BALL TOUR;"Étape 1 - Amérique du Nord
";13.01.2010;Détroit;Joe Louis Arena
40.712784;-74.005941;THE MONSTER BALL TOUR;"Étape 1 - Amérique du Nord
";20.01.2010;New York;Radio City Music Hall
40.712784;-74.005941;THE MONSTER BALL TOUR;"Étape 1 - Amérique du Nord
";21.01.2010;New York;Radio City Music Hall
40.712784;-74.005941;THE MONSTER BALL TOUR;"Étape 1 - Amérique du Nord
";23.01.2010;New York;Radio City Music Hall
40.712784;-74.005941;THE MONSTER BALL TOUR;"Étape 1 - Amérique du Nord
";24.01.2010;New York;Radio City Music Hall
40.425869;-86.908066;THE MONSTER BALL TOUR;"Étape 1 - Amérique du Nord
";26.01.2010;West Lafayette;Edward C. Elliott Hall of Music
53.480759;-2.242631;THE MONSTER BALL TOUR;Étape 2 - Europe;18.02.2010;Manchester;MEN Arena
53.349805;-6.26031;THE MONSTER BALL TOUR;Étape 2 - Europe;20.02.2010;Dublin;O2 Dublin
53.349805;-6.26031;THE MONSTER BALL TOUR;Étape 2 - Europe;21.02.2010;Dublin;O2 Dublin
54.597285;-5.93012;THE MONSTER BALL TOUR;Étape 2 - Europe;22.02.2010;Belfast;Odyssey Arena
53.408371;-2.991573;THE MONSTER BALL TOUR;Étape 2 - Europe;24.02.2010;Liverpool;Echo Arena
51.507351;-0.127758;THE MONSTER BALL TOUR;Étape 2 - Europe;26.02.2010;Londres;O2 Arena
51.507351;-0.127758;THE MONSTER BALL TOUR;Étape 2 - Europe;27.02.2010;Londres;O2 Arena
55.864237;-4.251806;THE MONSTER BALL TOUR;Étape 2 - Europe;01.03.2010;Glasgow;SCECC Arena
51.481581;-3.17909;THE MONSTER BALL TOUR;Étape 2 - Europe;03.03.2010;Cardiff;International Arena
54.978252;-1.61778;THE MONSTER BALL TOUR;Étape 2 - Europe;04.03.2010;Newcastle;Metro Radio Arena
33.520661;-86.80249;THE MONSTER BALL TOUR;Étape 2 - Europe;05.03.2010;Birmingham;LG Arena
-36.84846;174.763331;THE MONSTER BALL TOUR;Étape 3 - Océanie;13.03.2010;Auckland;Vector Arena
-36.84846;174.763331;THE MONSTER BALL TOUR;Étape 3 - Océanie;14.03.2010;Auckland;Vector Arena
-33.867487;151.20699;THE MONSTER BALL TOUR;Étape 3 - Océanie;17.03.2010;Sydney;Sydney Entertainment Centre
-33.867487;151.20699;THE MONSTER BALL TOUR;Étape 3 - Océanie;18.03.2010;Sydney;Sydney Entertainment Centre
54.978252;-1.61778;THE MONSTER BALL TOUR;Étape 3 - Océanie;20.03.2010;Newcastle;Newcastle Entertainment Centre
28.083627;-80.608109;THE MONSTER BALL TOUR;Étape 3 - Océanie;23.03.2010;Melbourne;Rod Laver Arena
28.083627;-80.608109;THE MONSTER BALL TOUR;Étape 3 - Océanie;24.03.2010;Melbourne;Rod Laver Arena
-27.471011;153.023449;THE MONSTER BALL TOUR;Étape 3 - Océanie;26.03.2010;Brisbane;Brisbane Entertainment Centre
-27.471011;153.023449;THE MONSTER BALL TOUR;Étape 3 - Océanie;27.03.2010;Brisbane;Brisbane Entertainment Centre
-35.282;149.128684;THE MONSTER BALL TOUR;Étape 3 - Océanie;29.03.2010;Canberra;AIS Arena
-34.928499;138.600746;THE MONSTER BALL TOUR;Étape 3 - Océanie;03.04.2010;Adelaide;Adelaide Entertainment Centre
-34.425073;150.893149;THE MONSTER BALL TOUR;Étape 3 - Océanie;05.04.2010;Wollongong;Wollongong Entertainment Centre
-33.867487;151.20699;THE MONSTER BALL TOUR;Étape 3 - Océanie;07.04.2010;Sydney;Sydney Entertainment Centre
28.083627;-80.608109;THE MONSTER BALL TOUR;Étape 3 - Océanie;09.04.2010;Melbourne;Rod Laver Arena
34.690083;135.195511;THE MONSTER BALL TOUR;Étape 4 - Asie;14.04.2010;Kōbe;World Memorial Hall
34.690083;135.195511;THE MONSTER BALL TOUR;Étape 4 - Asie;15.04.2010;Kōbe;World Memorial Hall
35.443708;139.638026;THE MONSTER BALL TOUR;Étape 4 - Asie;17.04.2010;Yokohama;Yokohama Arena
35.443708;139.638026;THE MONSTER BALL TOUR;Étape 4 - Asie;18.04.2010;Yokohama;Yokohama Arena
59.329324;18.068581;THE MONSTER BALL TOUR;Étape 5 - Europe;07.05.2010;Stockholm;Globe Arena
59.329324;18.068581;THE MONSTER BALL TOUR;Étape 5 - Europe;08.05.2010;Stockholm;Globe Arena
53.551085;9.993682;THE MONSTER BALL TOUR;Étape 5 - Europe;10.05.2010;Hambourg;ColorLine Arena
52.520007;13.404954;THE MONSTER BALL TOUR;Étape 5 - Europe;11.05.2010;Berlin;O2 Arena
51.985103;5.89873;THE MONSTER BALL TOUR;Étape 5 - Europe;15.05.2010;Arnhem;Gelredome
51.219448;4.402464;THE MONSTER BALL TOUR;Étape 5 - Europe;17.05.2010;Anvers;Sportpaleis
51.219448;4.402464;THE MONSTER BALL TOUR;Étape 5 - Europe;18.05.2010;Anvers;Sportpaleis
48.856614;2.352222;THE MONSTER BALL TOUR;Étape 5 - Europe;21.05.2010;Paris;Bercy Arena
48.856614;2.352222;THE MONSTER BALL TOUR;Étape 5 - Europe;22.05.2010;Paris;Bercy Arena
51.496334;6.863777;THE MONSTER BALL TOUR;Étape 5 - Europe;24.05.2010;Oberhausen;König Pilsener Arena
48.573405;7.752111;THE MONSTER BALL TOUR;Étape 5 - Europe;25.05.2010;Strasbourg;Zénith de Strasbourg
52.954783;-1.158109;THE MONSTER BALL TOUR;Étape 5 - Europe;27.05.2010;Nottingham;Capital FM Arena
33.520661;-86.80249;THE MONSTER BALL TOUR;Étape 5 - Europe;28.05.2010;Birmingham;LG Arena
51.507351;-0.127758;THE MONSTER BALL TOUR;Étape 5 - Europe;30.05.2010;Londres;O2 Arena
51.507351;-0.127758;THE MONSTER BALL TOUR;Étape 5 - Europe;31.05.2010;Londres;O2 Arena
53.480759;-2.242631;THE MONSTER BALL TOUR;Étape 5 - Europe;02.06.2010;Manchester;MEN Arena
53.480759;-2.242631;THE MONSTER BALL TOUR;Étape 5 - Europe;03.06.2010;Manchester;MEN Arena
53.381129;-1.470085;THE MONSTER BALL TOUR;Étape 5 - Europe;04.06.2010;Sheffield;Motorpoint Arena
45.501689;-73.567256;THE MONSTER BALL TOUR;Étape 6 - Amérique du Nord;28.06.2010;Montréal;Centre Bell
42.360082;-71.05888;THE MONSTER BALL TOUR;Étape 6 - Amérique du Nord;01.07.2010;Boston;TD Garden
42.360082;-71.05888;THE MONSTER BALL TOUR;Étape 6 - Amérique du Nord;02.07.2010;Boston;TD Garden
39.364283;-74.422927;THE MONSTER BALL TOUR;Étape 6 - Amérique du Nord;04.07.2010;Atlantic City;Boardwalk Hall
40.712784;-74.005941;THE MONSTER BALL TOUR;Étape 6 - Amérique du Nord;06.07.2010;New York;Madison Square Garden
40.712784;-74.005941;THE MONSTER BALL TOUR;Étape 6 - Amérique du Nord;07.07.2010;New York;Madison Square Garden
40.712784;-74.005941;THE MONSTER BALL TOUR;Étape 6 - Amérique du Nord;09.07.2010;New York;Madison Square Garden
